10000001	[100105021, 100102204, 100102982, 100008857, 100102450, 100102252, 100072698, 100103327, 100103422, 100103708, 100008565, 100006594, 100030343, 100060281, 100006690, 100105438, 100033350, 100047506, 100033520, 100042579, 100107198, 100106183, 100037130, 100023802, 100000828, 100095078, 100001068, 100002368, 100006325, 100071887, 100102124, 100030899, 100033140, 100031741, 100005156, 100031609, 100045621, 100020603, 100041814, 100104206, 100031587, 100102327, 100027718, 100022551, 100032638, 100012670, 100102364, 100102781, 100028925, 100102331, 100104594, 100102425, 100102216, 100102506, 100102615, 100064136, 100022353, 100033757, 100036994, 100031465, 100102198, 100002669, 100068051, 100019231, 100000444, 100015591, 100102820, 100031772, 100102000, 100000694, 100079832, 100103365, 100103263, 100026359, 100000187, 100012670, 100031024, 100027859, 100003282, 100006386, 100104282, 100103080, 100102095, 100102159, 100102430, 100030689, 100019886, 100102288, 100067312, 100093390, 100000425, 100086476, 100004712, 100007249, 100030963, 100068159, 100050598, 100104799, 100037378, 100005449, 100102600, 100102955, 100063059, 100028874, 100103098, 100084370, 100102548, 100041867, 100082748, 100102626, 100102682, 100022969, 100102529, 100015523, 100102932, 100102035, 100082540, 100019364, 100004350, 100053431, 100102565, 100103070, 100102894, 100102972, 100102968, 100031806, 100049327, 100102658, 100005398, 100102958, 100071616, 100032060, 100002693, 100008667, 100103124, 100070004, 100102497, 100003110, 100024877, 100026097, 100103076, 100088782, 100009023, 100097125, 100103392, 100102603, 100029839, 100029938, 100017153, 100024468, 100104666, 100104706, 100018392, 100102538, 100031854, 100102789, 100083508, 100102008, 100033392, 100032714, 100102258, 100072613, 100030010, 100032297, 100110861, 100103548, 100076184, 100033131, 100037063, 100029694, 100096831, 100006850, 100031002, 100103085, 100029039, 100102619, 100013651, 100032297, 100078542, 100097706, 100090113, 100103777, 100102004, 100103424, 100062710, 100102483, 100096999, 100031769, 100102545, 100000616, 100027996, 100102412, 100068365, 100098987, 100031649, 100096769, 100072703, 100103416, 100102054, 100102754, 100102326, 100082611, 100032122, 100096783, 100006873, 100106159, 100046433, 100103089, 100102001, 100102920, 100031468, 100102015, 100102934, 100102009, 100102480, 100102261, 100102181, 100102756, 100108976, 100034273, 100095368, 100025993, 100102593, 100102422, 100103091, 100018597, 100102550, 100102417, 100006279, 100026273, 100103471, 100104018, 100035408, 100102419, 100102065, 100102662, 100031642, 100025485, 100023604, 100002926, 100102109, 100102051, 100078479, 100029631, 100001397, 100065234, 100082781, 100103191, 100104272, 100103394, 100105339, 100108974, 100066846, 100004624, 100103481, 100028295, 100019280, 100018270, 100103599, 100103945, 100064219, 100028835, 100104298, 100103720, 100103534, 100109831, 100062946, 100017874, 100103705, 100102825, 100007376, 100103824, 100103730, 100027746, 100103383, 100063733, 100037992, 100036721, 100102547, 100103933, 100009629, 100017392, 100072148, 100004223, 100082263, 100062996, 100013990, 100016052, 100104849, 100101996, 100028554, 100033120, 100044418, 100031264, 100072340, 100037670, 100104670, 100095290, 100070293, 100019028, 100043135, 100030698, 100102597, 100022668, 100104402, 100104245, 100105164, 100104418, 100009625, 100111075, 100105921, 100104692, 100104477, 100103982, 100103579, 100104672, 100040534, 100103822, 100104939, 100025775, 100102584, 100104541, 100000724, 100104780, 100031906, 100041454, 100103453, 100104956, 100030650, 100007352, 100104002, 100105178, 100007332, 100104097, 100008230, 100081260, 100105043, 100103604, 100032454, 100011008, 100105568, 100032757, 100046448, 100105458, 100018325, 100001730, 100104274, 100007828, 100105969, 100078388, 100104769, 100002126, 100105393, 100105222, 100103561, 100030226, 100102225, 100102674, 100000267, 100018312, 100064636, 100104142, 100030851, 100013544, 100033235, 100102535, 100001895, 100106184, 100106006, 100105460, 100095772, 100105788, 100104854, 100028301, 100111115, 100102997, 100103542, 100088493, 100032166, 100016136, 100097165, 100067969, 100104116, 100105208, 100104893, 100025836, 100102179, 100032873, 100014738, 100104293, 100013728, 100029666, 100001919, 100013482, 100053901, 100106296, 100104292, 100041733, 100104317, 100103681, 100103306, 100105947, 100007789, 100020621, 100019660, 100088203, 100028658, 100030181, 100104158, 100016065, 100105558, 100103643, 100033919, 100032666, 100106215, 100102275, 100010797, 100008253, 100105108, 100021638, 100104265, 100014749, 100031685, 100104958, 100002799, 100037298, 100037748, 100027047, 100106160, 100104576, 100104035, 100104020, 100063007, 100103642, 100102647, 100103881, 100105221, 100035914, 100104580, 100104028, 100102218, 100102296, 100102915, 100105654, 100022650, 100020049, 100032873, 100017867, 100103176, 100096994, 100105652, 100027155, 100060547, 100025448, 100104927, 100106199, 100102769, 100029557, 100104178, 100023802, 100105527, 100102953, 100103296, 100027371, 100104880, 100102743, 100105850, 100103220, 100029653, 100030330, 100025279, 100034105, 100062808, 100098546, 100032778, 100030543, 100103144, 100002228, 100007369, 100102676, 100080443, 100032941, 100032434, 100032132, 100102223, 100104328, 100105972, 100005079]
10000002	[100031854, 100000075, 100033603, 100003282, 100045976, 100103091, 100001730, 100042311, 100027371, 100068372, 100022806, 100068372, 100016052, 100008009, 100006386, 100088782, 100029039, 100011945, 100005113, 100023802]
10000005	[100023802]
10000006	[100001730, 100027424, 100027859, 100027859]
10000007	[100005156, 100005156, 100106283, 100027424, 100023538, 100006690, 100023802, 100064325]
1000001	[100010797, 100007518, 100008802, 100008401, 100001238, 100005361, 100006204, 100009550, 100010363]
10000011	[100023319]
10000016	[100037992, 100008072]
10000017	[100037992]
10000018	[100027424, 100003282, 100000032, 100008668]
